dataset,method,hyperparameters,accuracy,precision,recall,f1,duration
Bank Marketing,Decision Tree,{'random_state': 42},0.8742673891407718,0.87661280083162,0.8742673891407718,0.8754066333410767,0.37934398651123047
Bank Marketing,MLPClassifier,"{'hidden_layer_sizes': (100,), 'max_iter': 300, 'random_state': 42}",0.8960521950680084,0.8891914712024984,0.8960521950680084,0.8920110120873989,15.35835075378418
Books Reviews,Logistic Regression,{'max_iter': 1000},0.875,0.8750626896361493,0.875,0.8749436358626218,0.016111373901367188
